../dataset/dblp.txt, 8179.780335
../dataset/karate.txt, 0.000042
../dataset/karate.txt, 0.000043
../dataset/dblp.txt, 12264.885794
../dataset/karate.txt, 0.001443
../dataset/karate.txt, 0.000141
../dataset/karate.txt, 0.000129
../dataset/karate.txt, 0.000154
../dataset/karate.txt, 0.000161
../dataset/karate.txt, 0.000153
../dataset/karate.txt, 0.000156
../dataset/karate.txt, 0.000167
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000025
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/dblp.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/amazon.txt, method1, 0.000000, ori, 0.000000
../dataset/youtube.txt, method1, 0.000000, ori, 0.000000
../dataset/youtube.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, method1, 0.000000, ori, 0.000000
../dataset/dblp.txt, method1, 0.000000, ori, 0.000000
../dataset/amazon.txt, method1, 0.000000, ori, 0.000000
../dataset/roadNet-CA_OK.txt, method1, 0.000000, ori, 0.000000
../dataset/roadNet-CA_OK.txt, method1, 0.000000, ori, 0.000000
../dataset/roadNet-CA_OK.txt, method1, 0.000000, ori, 0.000000
../dataset/roadNet-CA_OK.txt, method1, 0.000000, ori, 0.000000
../dataset/road-roadNet-CA.mtx, method1, 0.000000, ori, 0.000000
../dataset/road-roadNet-CA.mtx, method1, 0.000000, ori, 0.000000
../dataset/road-roadNet-CA.mtx, method1, 0.000000, ori, 0.000000
../dataset/karate.txt, CC_shareBased 0.000014, CC_ori 0.000141
../dataset/karate.txt, CC_shareBased 0.000021, CC_ori 0.000033
